N,P,K,temperature,humidity,ph,rainfall,label
34.1,68.4,26.8,31.18,63.39,6.23,73.11,blackgram
101.7,29.3,63.6,30.1,65.41,6.2,56.36,watermelon
30.8,62.5,25.6,19.28,23.85,6.15,116.18,kidneybeans
47.5,63.4,95.8,17.92,33.22,7.51,92.2,chickpea
33.6,40.0,17.8,29.61,68.59,6.37,72.26,mungbean
15.6,26.4,40.4,34.21,50.22,6.17,98.57,mango
20.2,35.0,38.9,27.39,62.54,7.06,80.62,mango
113.5,72.0,63.8,31.86,76.33,5.79,129.79,banana
26.8,20.5,11.5,26.19,86.24,7.01,100.56,orange
59.9,74.8,57.3,28.02,85.9,7.0,84.12,papaya
111.0,87.2,58.9,31.24,85.69,5.87,157.04,banana
19.7,56.2,20.9,29.23,41.94,5.83,164.31,pigeonpeas
93.9,45.8,16.3,31.8,67.37,6.15,104.56,cotton
106.5,79.3,51.4,25.39,85.2,5.56,174.33,banana
110.8,32.3,32.3,23.26,52.35,6.63,175.26,coffee
16.7,20.9,42.5,32.77,55.3,5.76,88.6,mango
68.2,61.3,32.6,25.84,55.97,6.4,119.1,maize
21.5,42.3,21.9,30.08,37.21,8.11,30.85,mothbeans
20.5,63.5,21.7,16.71,86.2,6.91,38.83,lentil
103.2,96.3,62.4,26.51,75.23,5.93,148.5,banana
10.4,20.4,13.0,28.87,92.08,7.66,108.57,orange
67.1,51.4,34.7,26.44,51.08,5.83,67.9,maize
10.2,21.8,40.0,24.11,85.84,7.02,113.6,pomegranate
94.2,49.8,19.9,25.84,61.13,6.53,81.55,maize
37.0,78.1,85.0,15.12,15.18,6.71,97.05,chickpea
28.3,79.2,26.9,20.81,83.42,5.88,37.25,lentil
19.1,5.2,33.9,26.95,96.7,7.38,128.58,coconut
103.3,31.4,42.2,18.29,68.78,6.07,193.02,coffee
62.4,38.3,46.1,28.98,78.69,5.92,205.57,rice
77.6,39.4,21.6,21.91,52.22,5.94,95.89,maize
18.0,56.1,15.8,29.68,34.13,4.64,138.17,pigeonpeas
73.4,57.3,18.2,25.36,70.8,6.51,60.38,maize
11.3,18.9,38.1,33.4,50.05,6.15,101.48,mango
37.2,129.1,204.3,21.12,89.27,5.74,111.07,apple
118.8,38.5,29.2,24.3,73.29,5.58,66.8,cotton
36.8,146.8,202.9,20.25,88.31,6.48,109.59,apple
60.0,58.3,41.0,28.58,83.29,6.84,192.84,jute
33.7,135.3,208.1,24.08,90.24,6.11,129.9,apple
105.5,26.5,36.3,24.15,60.04,6.03,213.01,coffee
10.4,19.7,40.0,20.25,86.32,6.56,113.45,pomegranate
84.6,44.2,27.5,22.74,60.65,5.76,113.2,maize
26.6,56.2,71.1,16.75,32.34,6.56,98.02,chickpea
35.9,46.4,57.8,22.84,92.34,6.54,55.89,papaya
100.6,14.3,59.2,31.55,90.65,6.61,20.69,muskmelon
49.4,73.1,80.7,21.48,17.46,7.78,80.12,chickpea
67.0,50.7,37.7,31.24,77.75,6.18,167.02,rice
17.1,62.9,23.7,31.67,87.35,6.52,71.08,mungbean
103.5,80.6,54.6,27.97,82.09,6.2,134.7,banana
97.8,62.6,31.1,23.41,80.39,7.78,63.93,cotton
19.4,29.1,32.3,24.62,92.33,6.96,112.91,pomegranate
46.8,83.4,96.8,19.19,30.61,6.95,79.9,chickpea
43.2,52.8,59.9,26.68,93.47,6.33,96.16,papaya
20.5,122.7,198.7,26.64,80.22,5.83,76.27,grapes
38.3,55.2,26.2,34.03,64.19,6.14,72.74,blackgram
29.7,31.2,28.2,27.06,51.6,6.8,110.28,mango
114.9,50.0,29.0,27.67,76.76,6.33,83.1,cotton
23.3,64.5,16.6,23.14,33.48,6.8,196.29,pigeonpeas
35.4,46.3,16.3,26.74,64.35,7.59,46.65,mothbeans
23.9,149.3,209.2,19.7,76.0,5.65,81.06,grapes
23.3,23.3,25.9,32.63,58.57,6.45,115.99,mango
86.8,82.8,48.7,29.73,82.12,5.85,128.89,banana
97.4,28.2,61.2,31.16,55.23,6.97,54.21,watermelon
35.4,63.8,26.9,31.04,74.8,6.06,89.22,mungbean
98.5,30.4,49.4,20.52,92.82,6.56,298.94,rice
17.1,15.0,43.9,23.39,87.45,6.07,116.98,pomegranate
33.1,68.1,24.5,18.41,69.03,6.66,57.42,lentil
92.3,24.0,57.8,28.26,70.37,6.76,58.54,watermelon
94.6,18.0,60.9,30.35,86.34,6.09,29.08,muskmelon
32.0,127.1,197.5,20.07,90.28,6.39,111.42,apple
89.9,49.5,47.0,27.89,86.37,5.69,205.16,rice
14.8,32.2,43.5,33.09,51.68,6.04,101.97,mango
97.3,12.5,58.8,30.12,85.43,6.68,24.15,muskmelon
19.9,59.8,23.4,30.1,54.98,4.85,52.75,mothbeans
104.9,18.8,33.1,23.39,66.87,6.09,191.77,coffee
21.7,5.2,11.6,16.06,90.22,7.63,106.19,orange
83.6,16.5,56.3,25.5,71.01,6.97,46.44,watermelon
21.8,80.7,15.5,15.76,68.22,5.9,45.43,lentil
75.6,30.3,48.1,21.1,81.39,7.4,292.59,rice
42.5,82.4,83.0,17.59,23.69,7.45,60.36,chickpea
93.3,56.0,46.7,24.37,82.61,6.02,192.4,jute
30.4,65.1,99.4,23.57,29.02,7.45,82.48,chickpea
14.8,18.3,34.7,21.44,93.72,7.07,111.6,pomegranate
22.2,67.3,79.3,21.77,27.12,6.73,68.72,chickpea
86.5,24.9,33.2,26.9,50.19,7.46,193.71,coffee
17.6,6.9,25.2,26.31,90.09,5.96,161.95,coconut
23.2,21.3,42.2,25.12,94.3,5.69,158.96,coconut
86.4,27.8,64.9,24.69,72.25,6.39,55.72,watermelon
22.4,77.0,28.1,26.93,62.93,7.35,70.5,blackgram
20.1,78.9,26.1,18.89,43.55,5.35,123.49,pigeonpeas
27.1,84.6,26.3,21.48,48.84,7.48,184.33,pigeonpeas
21.3,9.5,23.4,18.25,92.95,7.93,121.81,orange
11.6,16.3,13.6,15.3,87.36,6.57,103.36,orange
94.9,37.6,29.8,24.73,77.48,7.24,76.1,cotton
31.2,74.1,23.3,15.11,80.9,6.25,77.42,lentil
93.5,34.3,25.4,25.69,69.31,6.51,195.37,coffee
68.5,35.9,28.0,21.32,71.61,6.45,118.09,maize
47.6,74.5,56.4,24.64,87.93,6.69,113.98,papaya
20.1,53.8,20.4,31.97,46.81,6.66,52.63,mothbeans
10.3,27.5,35.5,30.8,90.6,5.95,145.94,coconut
88.9,21.3,50.0,30.54,57.21,6.83,58.08,watermelon
73.9,62.0,15.4,23.97,74.08,6.62,116.21,maize
65.4,51.6,40.4,24.46,80.7,7.37,150.78,jute
30.8,58.0,24.1,26.21,62.36,6.79,72.08,blackgram
67.4,61.1,30.5,24.94,71.12,7.02,97.57,maize
39.8,47.2,19.3,30.58,69.13,6.13,40.07,mungbean
21.4,28.1,45.7,22.36,88.15,6.81,101.82,pomegranate
33.6,73.6,27.0,29.32,83.57,6.69,88.23,blackgram
36.2,124.7,190.4,22.85,85.75,6.49,120.24,apple
44.7,79.1,86.6,20.2,17.86,7.55,70.86,chickpea
25.4,78.0,15.6,16.23,66.09,6.3,73.06,lentil
35.1,137.0,208.0,19.95,94.41,6.39,117.29,apple
25.9,26.6,37.9,34.24,53.57,6.16,119.09,mango
39.7,36.7,17.1,24.42,51.9,3.85,63.46,mothbeans
92.6,40.4,23.1,26.95,84.31,7.93,102.56,cotton
11.9,29.8,49.0,18.55,94.33,6.54,116.89,pomegranate
23.3,71.9,27.8,17.02,33.69,6.19,109.4,kidneybeans
77.4,37.4,46.4,29.59,88.89,6.04,238.53,rice
119.1,45.5,32.4,22.93,71.68,6.38,62.58,cotton
26.6,24.2,36.9,26.94,57.92,7.47,81.96,mango
104.4,81.0,53.3,30.32,79.65,6.44,114.37,banana
16.9,66.3,27.1,19.33,34.94,6.06,79.27,kidneybeans
29.5,62.9,22.5,30.74,45.61,8.11,59.27,mothbeans
11.1,123.6,208.6,26.04,82.96,5.83,77.78,grapes
88.6,20.4,62.0,29.95,91.22,6.5,22.99,muskmelon
93.5,19.9,51.0,26.11,85.47,6.2,25.82,muskmelon
37.0,63.3,26.1,25.87,80.07,6.62,63.54,mungbean
65.3,56.5,33.2,19.62,55.94,7.44,70.86,maize
24.3,82.9,15.9,15.92,18.26,6.1,69.03,kidneybeans
28.5,33.0,26.8,25.45,54.91,5.71,93.82,mango
104.1,24.7,63.5,27.57,58.46,6.05,47.39,watermelon
102.1,12.6,55.2,26.23,58.22,6.43,43.93,watermelon
38.4,82.5,24.5,21.3,23.06,6.25,91.88,kidneybeans
14.8,10.5,23.4,16.3,91.1,7.36,115.17,orange
19.0,64.3,17.4,29.87,70.92,6.96,46.45,mungbean
33.1,82.9,21.5,19.67,47.93,5.55,131.23,pigeonpeas
25.6,20.6,41.8,19.4,87.87,6.24,104.99,pomegranate
12.7,20.8,38.2,30.74,55.62,6.87,105.5,mango
87.3,37.3,32.0,22.46,62.01,6.68,109.48,maize
16.4,52.6,27.6,24.14,31.72,7.22,62.78,mothbeans
23.1,57.8,29.6,27.86,72.71,6.97,60.74,blackgram
26.2,55.8,26.0,31.96,40.06,7.0,51.33,mothbeans
26.3,139.6,206.8,33.89,77.73,5.67,74.52,grapes
20.5,66.4,27.1,23.24,22.69,5.96,78.2,kidneybeans
15.3,64.0,23.7,18.76,76.05,7.25,76.06,lentil
24.4,71.5,15.8,19.26,31.65,6.31,73.46,kidneybeans
13.7,19.7,46.6,24.65,91.34,6.53,112.07,pomegranate
28.3,27.1,25.6,30.01,96.55,7.04,169.45,coconut
91.0,22.9,64.0,25.29,94.19,6.61,28.07,muskmelon
24.3,23.3,43.7,25.67,99.95,7.05,192.66,coconut
16.2,28.2,47.4,21.91,88.25,6.44,100.67,pomegranate
22.9,56.7,26.5,27.83,41.6,6.53,133.55,pigeonpeas
63.3,52.1,45.8,31.66,72.98,6.8,178.38,jute
24.5,78.3,20.1,26.79,36.72,4.94,193.19,pigeonpeas
76.7,58.0,47.3,20.54,75.53,6.25,271.58,rice
94.2,51.1,39.5,21.17,84.83,6.45,175.98,rice
16.5,21.8,38.2,29.14,61.24,5.81,111.6,mango
13.3,17.0,44.8,23.3,91.67,6.35,111.76,pomegranate
88.7,17.5,35.4,23.48,56.69,6.95,154.81,coffee
101.2,60.8,25.3,27.35,82.22,6.73,94.08,cotton
12.2,29.5,30.4,33.02,64.91,5.65,98.92,mango
19.9,37.9,17.5,31.39,58.75,5.8,56.23,mothbeans
16.0,40.8,23.0,34.35,85.05,7.26,55.16,mungbean
106.1,40.3,33.2,28.48,74.56,7.54,82.54,cotton
29.5,53.5,26.7,29.63,59.21,3.87,59.9,mothbeans
18.7,63.0,20.4,19.08,28.59,5.56,62.08,kidneybeans
29.0,11.7,40.1,25.91,97.38,7.09,144.72,coconut
26.6,42.4,28.7,26.68,63.33,6.96,55.26,mothbeans
97.3,59.4,17.1,24.22,75.07,7.58,67.37,cotton
92.3,45.7,28.9,31.53,84.26,6.89,90.33,cotton
96.0,12.7,63.7,31.26,86.9,6.34,26.13,muskmelon
25.8,13.9,35.2,21.59,88.31,7.29,109.48,pomegranate
16.1,148.0,202.6,24.94,90.37,6.21,101.69,apple
104.2,94.5,60.2,24.62,78.68,6.47,100.66,banana
50.7,71.7,64.8,23.51,86.3,6.13,94.49,papaya
93.8,53.3,44.7,23.95,75.42,6.1,150.43,jute
99.4,36.9,38.6,25.15,82.61,7.21,198.32,jute
16.8,72.9,19.0,20.28,75.52,7.35,59.71,lentil
103.1,96.7,59.0,24.02,81.45,5.99,104.42,banana
76.3,49.6,44.1,30.29,82.21,6.17,184.13,jute
38.5,146.1,200.2,20.65,85.06,5.72,100.74,apple
87.2,28.4,46.6,27.42,65.65,6.9,69.93,watermelon
47.4,55.8,55.8,32.36,93.42,6.4,74.39,papaya
21.9,54.2,20.1,31.98,39.22,5.31,67.23,mothbeans
11.3,148.6,195.6,22.64,75.92,5.61,81.8,grapes
94.0,23.1,47.1,26.03,73.38,6.67,40.4,watermelon
105.2,95.4,50.9,25.54,88.59,6.4,178.12,banana
22.1,63.5,27.6,32.22,62.34,6.16,64.64,mungbean
36.5,60.3,20.4,29.5,40.95,3.9,58.06,mothbeans
31.2,141.8,201.0,18.84,91.48,6.41,112.5,apple
27.0,149.9,200.2,21.9,76.86,5.5,75.27,grapes
11.1,129.9,199.2,19.1,78.01,5.7,83.23,grapes
24.1,138.4,207.6,24.55,90.84,5.54,129.08,apple
28.2,5.5,14.0,25.38,88.19,7.54,129.14,orange
16.4,10.3,18.0,24.5,88.62,7.28,108.14,orange
16.7,13.2,33.0,29.65,95.66,7.35,122.54,coconut
84.8,46.0,47.9,29.46,78.03,6.12,187.27,rice
21.2,57.0,25.4,30.72,72.14,6.55,66.5,blackgram
58.7,54.0,48.3,23.92,88.15,6.59,68.67,papaya
29.0,73.0,78.9,18.0,29.86,6.1,96.12,chickpea
91.6,32.4,40.0,22.24,64.21,7.3,218.3,coffee
25.5,60.2,28.2,25.95,49.27,4.75,34.08,mothbeans
25.9,17.6,40.3,24.75,45.25,7.3,103.25,mango
24.2,38.2,24.4,24.97,64.51,8.57,45.61,mothbeans
119.3,31.7,34.6,26.79,56.95,7.18,165.66,coffee
39.4,74.4,29.0,22.25,57.37,6.8,166.08,pigeonpeas
31.4,67.5,17.7,21.89,76.95,7.22,40.29,lentil
22.6,70.5,20.7,20.64,63.44,7.49,54.15,lentil
15.4,83.0,27.1,23.37,62.8,6.98,78.2,lentil
109.7,32.5,32.4,22.07,58.66,7.38,198.48,coffee
38.9,42.2,19.9,26.84,77.31,6.23,57.81,mungbean
24.4,20.1,26.8,24.87,53.52,7.39,88.71,mango
26.6,17.7,41.8,23.05,87.41,6.25,119.44,pomegranate
32.1,72.3,21.4,17.76,30.37,5.73,101.54,kidneybeans
28.6,39.0,25.4,30.36,35.72,4.18,35.82,mothbeans
19.0,51.9,29.2,25.04,67.14,7.41,48.55,mungbean
95.4,54.7,34.9,28.52,77.13,6.52,75.63,cotton
74.9,53.3,36.8,31.17,92.17,6.36,262.63,rice
65.3,70.6,55.1,28.37,88.62,6.99,48.89,papaya
13.7,28.1,32.5,34.81,58.31,7.41,88.06,mango
83.9,26.9,59.9,26.41,88.41,6.97,25.94,muskmelon
61.7,46.9,46.6,25.88,90.14,6.41,43.59,papaya
36.1,69.6,20.0,22.92,24.03,5.68,111.3,kidneybeans
70.3,52.2,36.2,30.6,74.35,6.02,163.43,jute
17.6,22.2,37.0,24.42,90.78,5.54,157.08,coconut
20.3,74.9,21.2,19.02,32.69,6.4,114.55,kidneybeans
11.8,19.6,17.0,26.25,93.99,7.57,123.43,orange
92.6,55.5,46.0,23.91,85.99,6.18,156.24,jute
29.9,18.0,9.3,18.46,88.25,6.01,120.45,orange
29.5,57.3,25.1,25.65,42.34,4.32,35.19,mothbeans
18.5,140.5,196.2,24.1,91.71,6.15,116.78,apple
28.1,127.0,191.0,20.73,88.36,5.68,109.72,apple
13.9,19.2,6.2,30.62,85.81,7.83,114.72,orange
85.1,47.5,48.0,20.55,80.62,7.4,283.54,rice
99.5,45.0,32.1,23.5,83.92,6.77,106.32,cotton
95.8,41.6,15.9,24.41,71.91,7.58,78.32,cotton
23.2,20.2,27.2,29.25,99.24,5.82,179.71,coconut
28.1,63.6,89.7,24.69,27.07,6.15,63.02,chickpea
25.3,134.5,199.2,24.74,85.46,6.45,117.46,apple
23.9,55.3,27.6,25.32,88.21,7.34,76.07,blackgram
11.8,14.2,40.0,18.14,87.53,6.78,100.3,pomegranate
87.6,55.3,19.3,23.93,59.85,6.8,66.4,maize
57.5,54.8,57.3,22.68,85.99,6.7,69.45,papaya
36.7,82.8,21.3,15.51,15.79,6.07,83.57,kidneybeans
47.2,75.1,86.8,16.11,23.94,6.92,94.58,chickpea
28.5,57.6,15.9,19.48,50.5,6.13,115.71,pigeonpeas
73.9,54.9,30.9,26.34,55.87,6.3,69.14,maize
37.7,77.8,25.1,22.21,36.44,6.77,142.16,pigeonpeas
54.6,72.8,55.0,33.56,89.54,6.28,113.31,papaya
24.2,15.1,47.2,24.25,86.94,6.2,119.51,pomegranate
91.9,18.2,41.6,27.71,56.98,6.44,192.1,coffee
88.9,51.6,42.8,28.33,85.85,6.0,201.85,rice
117.1,85.9,60.1,26.39,86.19,5.7,129.69,banana
37.4,43.0,21.2,33.99,86.89,7.03,82.95,mungbean
26.3,29.1,48.5,24.36,90.12,6.54,109.3,pomegranate
32.9,53.1,19.5,29.11,66.53,7.45,46.53,mungbean
96.3,10.6,57.4,25.39,91.16,6.69,21.98,muskmelon
20.5,65.5,20.6,15.69,22.39,5.96,103.36,kidneybeans
18.6,38.1,21.3,30.36,34.95,4.35,55.74,mothbeans
19.8,24.1,29.1,32.31,54.03,7.42,90.43,mango
68.4,49.0,38.2,31.28,87.6,6.73,167.96,jute
108.9,52.5,27.7,29.17,65.38,5.76,77.97,cotton
96.3,70.3,48.4,28.53,84.18,6.29,120.31,banana
28.8,59.6,25.9,26.4,55.59,6.81,197.3,pigeonpeas
28.8,21.3,38.1,24.88,49.85,7.05,101.15,mango
36.3,40.9,28.1,26.82,55.29,5.57,66.24,mothbeans
34.0,55.5,23.4,28.79,75.2,6.84,69.4,blackgram
39.1,66.8,17.0,27.4,55.53,6.23,112.75,pigeonpeas
21.4,19.7,41.0,21.44,90.65,7.07,102.19,pomegranate
48.7,55.3,99.9,21.77,31.57,6.59,60.57,chickpea
60.4,34.1,48.0,30.49,86.95,6.7,249.76,rice
12.8,22.2,33.3,21.7,90.9,6.45,100.7,pomegranate
34.1,142.1,206.3,15.32,85.48,6.29,115.99,apple
34.7,56.7,20.5,30.06,76.81,7.09,70.65,blackgram
20.6,12.9,15.7,25.68,94.22,6.36,108.87,orange
21.5,57.2,82.1,17.95,19.65,6.56,92.14,chickpea
103.4,25.1,61.3,24.04,65.02,6.7,44.66,watermelon
95.9,48.2,30.2,21.22,88.27,5.51,174.12,rice
26.0,15.2,31.4,27.71,91.47,6.21,205.76,coconut
99.4,37.3,43.4,29.14,79.75,6.96,205.17,rice
30.2,73.8,24.6,21.29,76.61,7.47,67.95,lentil
96.5,26.2,39.3,18.3,55.81,6.91,175.02,coffee
26.9,64.8,26.6,27.11,75.04,6.35,60.48,mungbean
114.4,82.1,59.0,27.57,87.79,5.82,141.89,banana
30.9,65.7,17.2,26.35,58.5,5.65,104.55,pigeonpeas
25.0,59.5,22.6,33.02,73.25,6.74,85.46,blackgram
15.2,69.5,16.8,22.31,62.41,4.99,196.24,pigeonpeas
28.0,73.0,78.9,22.14,30.18,6.21,80.55,chickpea
23.4,79.8,15.0,22.31,38.44,5.2,97.5,pigeonpeas
19.1,9.6,32.4,28.18,90.53,6.93,174.33,coconut
27.9,59.8,16.3,15.19,18.31,6.39,74.49,kidneybeans
81.3,46.2,42.7,28.71,94.52,6.53,198.44,rice
87.6,31.2,46.0,27.53,76.64,7.25,288.13,rice
37.1,61.6,22.0,19.7,86.21,7.03,58.09,lentil
104.9,87.6,50.6,31.1,79.56,5.95,143.5,banana
92.5,85.4,56.8,29.9,84.84,6.11,132.94,banana
31.5,75.6,16.8,24.39,18.62,6.12,73.36,kidneybeans
71.9,63.2,20.2,21.87,71.82,7.18,71.17,maize
10.8,8.3,14.1,19.2,87.59,7.75,115.45,orange
25.7,49.1,28.9,29.13,40.91,6.91,32.64,mothbeans
30.6,56.7,15.4,29.5,69.98,6.66,67.88,blackgram
77.8,52.4,43.1,25.88,74.86,6.51,189.83,jute
20.5,5.2,21.6,26.97,91.62,6.14,110.86,orange
39.2,68.4,22.5,17.47,24.42,6.16,105.07,kidneybeans
32.6,68.5,16.5,32.08,60.94,7.31,64.16,blackgram
33.4,45.2,53.2,30.19,88.32,6.84,97.33,papaya
16.8,83.6,18.3,34.22,72.78,7.48,76.62,blackgram
28.1,138.7,205.2,23.41,92.62,5.85,129.9,apple
42.6,68.4,58.4,31.51,93.12,6.78,94.57,papaya
49.6,74.0,64.0,34.79,93.66,6.91,57.38,papaya
86.8,51.2,34.4,29.83,71.74,6.73,150.5,jute
30.7,147.4,190.7,17.44,86.94,6.0,112.89,apple
93.9,25.0,49.4,25.76,73.94,6.95,69.71,watermelon
119.3,15.1,37.7,25.39,68.36,7.33,208.94,coffee
17.8,63.0,17.8,27.53,72.2,6.57,79.73,mungbean
35.4,131.2,207.0,16.63,87.71,5.54,110.93,apple
18.5,73.7,25.9,34.32,68.37,7.43,61.9,blackgram
28.7,67.1,22.8,31.95,34.73,6.53,133.56,pigeonpeas
14.7,20.4,33.4,20.14,88.21,6.24,104.1,pomegranate
16.6,40.6,15.5,29.95,55.32,4.38,63.44,mothbeans
23.3,52.4,28.3,28.55,52.11,6.87,32.05,mothbeans
60.9,48.4,34.4,28.02,79.33,6.86,177.55,jute
28.8,9.0,5.8,23.3,89.51,6.66,128.73,orange
27.8,62.6,28.6,26.57,71.0,6.93,47.97,mungbean
23.1,133.4,196.9,31.72,82.58,5.82,63.09,grapes
90.9,47.0,45.8,23.66,73.83,6.83,197.35,jute
82.0,36.3,27.7,26.56,65.04,7.14,113.05,maize
38.5,79.6,29.8,17.6,34.39,5.93,80.85,kidneybeans
28.6,18.0,28.8,26.13,93.84,6.75,164.0,coconut
20.5,9.1,7.4,23.69,85.79,7.17,100.94,orange
23.0,59.9,26.7,19.71,52.22,4.87,97.76,pigeonpeas
119.6,58.8,27.6,27.2,84.41,7.24,107.24,cotton
18.4,145.0,190.4,17.24,84.91,5.78,89.27,grapes
87.9,18.2,34.5,25.63,69.94,7.18,211.39,coffee
24.1,13.8,41.1,19.77,94.56,6.04,103.99,pomegranate
45.0,55.6,61.5,22.12,92.98,6.57,118.89,papaya
103.8,59.8,23.5,24.52,84.67,6.26,76.19,cotton
36.7,77.4,27.9,29.95,63.93,7.04,66.18,blackgram
20.7,72.5,20.6,19.49,76.12,5.91,42.01,lentil
32.9,131.2,203.6,22.13,94.35,5.56,105.77,apple
30.1,51.8,22.3,30.05,65.29,7.22,67.09,mungbean
21.9,20.5,15.1,23.66,92.25,7.0,118.25,orange
89.8,41.1,34.2,21.31,58.17,5.8,78.34,maize
25.7,72.9,30.0,22.69,22.96,6.33,70.24,kidneybeans
15.8,61.1,20.1,20.11,27.3,6.41,90.59,kidneybeans
26.0,133.6,206.3,25.67,78.38,6.16,81.53,grapes
31.9,36.9,23.9,29.92,37.38,8.97,31.21,mothbeans
38.5,62.8,27.8,33.63,83.18,6.25,84.65,blackgram
28.1,84.0,86.7,18.47,26.61,6.28,77.76,chickpea
117.7,41.9,24.9,30.84,66.56,5.64,71.67,cotton
62.6,63.6,64.2,25.28,85.71,6.49,46.84,papaya
85.6,19.1,60.0,26.25,55.4,6.54,68.7,watermelon
31.3,58.5,23.0,29.37,68.04,6.91,86.14,blackgram
56.9,70.0,62.1,24.24,89.86,6.73,101.92,papaya
32.0,83.0,30.0,28.08,40.05,7.14,95.41,pigeonpeas
20.5,8.5,43.3,31.43,96.83,5.54,173.71,coconut
37.0,68.0,21.2,15.36,74.94,6.61,60.15,lentil
28.2,65.4,22.8,21.55,72.55,6.93,73.76,lentil
104.0,41.3,33.5,22.54,82.31,6.78,90.95,cotton
88.9,48.3,44.6,23.85,80.57,6.44,198.63,jute
36.2,57.4,57.6,32.17,91.85,6.67,51.92,papaya
68.5,61.0,52.6,31.91,90.25,6.01,98.9,papaya
104.2,13.8,49.2,26.72,61.36,6.96,63.67,watermelon
37.5,66.6,58.4,31.73,86.89,6.16,58.92,papaya
91.2,38.2,30.2,22.87,74.07,6.18,97.96,maize
10.9,15.2,33.3,31.72,95.99,6.77,191.33,coconut
35.0,67.3,18.5,29.06,84.79,6.34,75.73,blackgram
91.8,14.0,46.4,30.18,59.99,6.61,60.63,watermelon
73.3,35.8,42.2,28.12,71.94,6.89,199.93,jute
30.2,55.9,48.4,31.85,85.51,6.55,63.59,papaya
27.9,24.7,27.5,28.88,99.96,6.69,198.59,coconut
11.9,21.4,32.7,30.85,48.16,7.22,97.9,mango
104.6,47.8,29.3,28.46,68.7,6.02,72.55,cotton
24.0,69.3,20.5,31.41,87.04,6.25,71.44,blackgram
91.7,18.4,64.4,29.56,69.38,6.56,69.24,watermelon
10.6,15.7,23.5,25.14,94.72,6.27,117.05,orange
70.9,47.4,17.4,19.63,67.03,5.86,91.51,maize
47.9,67.2,97.2,18.21,24.53,6.45,85.62,chickpea
23.8,5.7,21.5,19.84,89.46,6.62,108.06,orange
25.2,59.8,24.8,24.71,26.24,6.21,64.11,kidneybeans
20.9,13.2,7.2,21.69,92.34,7.84,107.55,orange
24.9,129.5,191.9,19.33,88.38,5.62,108.88,apple
76.7,55.7,39.3,25.66,85.5,7.28,171.02,jute
38.8,69.7,82.1,24.94,32.61,7.25,82.78,chickpea
45.9,73.4,50.0,34.24,94.54,6.88,85.09,papaya
23.7,61.9,29.5,27.55,41.23,6.92,57.51,mothbeans
103.6,28.0,49.4,29.38,88.92,6.99,24.79,muskmelon
50.0,48.8,61.1,30.02,86.35,6.37,104.83,papaya
29.5,84.7,26.4,19.42,29.15,5.89,73.73,kidneybeans
102.1,36.2,20.5,26.01,74.56,6.86,73.75,cotton
35.8,54.2,60.3,25.97,89.08,6.3,46.42,papaya
23.9,56.6,15.5,19.23,16.69,6.11,112.86,kidneybeans
86.9,27.0,47.8,28.64,72.76,6.47,62.4,watermelon
82.7,57.2,32.6,21.64,58.18,6.84,108.47,maize
27.4,23.3,36.8,22.79,85.2,7.1,109.74,pomegranate
13.2,27.2,44.8,28.55,97.75,7.22,190.1,coconut
38.3,55.6,17.3,30.41,46.05,6.19,162.93,pigeonpeas
88.7,55.8,34.8,19.16,52.6,6.95,94.7,maize
48.7,70.7,79.0,15.77,25.01,7.59,88.28,chickpea
67.6,45.5,41.8,28.43,75.84,7.38,195.75,jute
31.0,42.1,25.7,30.99,34.44,9.13,53.74,mothbeans
82.4,53.1,28.5,25.24,56.75,7.15,89.9,maize
100.4,19.8,45.8,29.59,93.42,6.72,28.3,muskmelon
92.7,86.6,59.6,22.42,75.17,5.96,110.55,banana
106.8,24.5,54.3,25.61,85.57,6.37,24.64,muskmelon
22.7,58.9,18.0,20.88,61.92,7.22,78.27,lentil
29.3,12.3,6.2,30.26,85.38,7.91,119.94,orange
30.8,74.7,77.2,16.92,33.36,6.2,80.24,chickpea
24.1,7.4,16.8,31.47,86.57,7.71,121.08,orange
16.3,149.9,204.7,15.87,85.2,6.22,113.18,apple
10.2,27.0,33.9,31.45,94.96,6.89,126.93,coconut
64.1,35.1,36.3,24.33,74.4,6.02,161.36,jute
37.3,37.4,20.0,25.99,64.58,6.03,59.3,mothbeans
45.0,66.5,52.9,25.02,88.43,6.07,66.54,papaya
92.9,21.7,39.0,22.74,60.35,6.89,203.82,coffee
20.5,39.9,21.1,31.41,54.86,6.22,50.69,mothbeans
67.4,59.1,45.5,31.27,92.9,6.7,288.28,rice
39.2,77.6,27.2,25.33,74.04,6.97,84.9,blackgram
27.2,12.5,41.3,18.99,92.05,7.36,108.69,pomegranate
22.7,74.9,25.0,27.86,73.8,6.29,66.31,blackgram
21.6,84.2,76.8,18.04,21.08,6.46,60.06,chickpea
31.6,67.2,19.2,32.31,67.27,6.26,75.9,blackgram
23.0,37.8,21.4,26.29,88.43,6.71,55.86,mungbean
80.8,11.8,50.7,31.78,66.17,6.37,66.66,watermelon
16.8,43.3,19.9,34.45,68.48,6.69,73.57,mungbean
80.8,45.1,31.6,21.88,56.22,6.73,102.41,maize
98.6,27.1,26.9,26.84,60.88,6.06,214.39,coffee
20.5,67.9,24.8,32.27,60.02,7.41,64.94,blackgram
37.3,48.5,21.9,24.62,53.48,8.84,39.79,mothbeans
14.7,133.3,193.1,26.92,77.51,5.83,74.14,grapes
64.0,49.2,45.6,34.15,86.48,6.81,105.86,papaya
